Sat Sep  5 19:34:02 JST 2026
19:34  up 12:17, 15 users, load averages: 16.85 25.61 36.00
=== run165A search ===
165A 1 0.063367 200
165A 2 0.051858 200
165A 3 0.061626 200
165A 4 1.098243 200
165A 5 0.041264 200
165A 6 0.035415 200
165A 7 0.055963 200
165A 8 0.046567 200
165A 9 0.034423 200
165A 10 0.854190 200
165A 11 0.051193 200
165A 12 0.038081 200
165A 13 0.044458 200
165A 14 0.032763 200
165A 15 0.037622 200
165A 16 0.062256 200
165A 17 0.040431 200
165A 18 0.045220 200
165A 19 0.055772 200
165A 20 0.036640 200
=== run165B search ===
165B 1 0.071382 200
165B 2 0.032303 200
165B 3 0.036362 200
165B 4 0.049911 200
165B 5 0.035905 200
165B 6 0.049182 200
165B 7 0.032319 200
165B 8 0.043832 200
165B 9 0.047503 200
165B 10 0.057178 200
165B 11 0.038529 200
165B 12 0.041178 200
165B 13 0.033181 200
165B 14 0.045642 200
165B 15 0.073842 200
165B 16 0.045232 200
165B 17 0.049869 200
165B 18 0.034029 200
165B 19 0.052817 200
165B 20 0.062871 200
=== run165C search ===
165C 1 0.048311 200
165C 2 0.034428 200
165C 3 0.036516 200
165C 4 0.040450 200
165C 5 0.034569 200
165C 6 0.040529 200
165C 7 0.039959 200
165C 8 0.041060 200
165C 9 0.046930 200
165C 10 0.033946 200
165C 11 0.033847 200
165C 12 0.039706 200
165C 13 0.036452 200
165C 14 0.035486 200
165C 15 0.037635 200
165C 16 0.039420 200
165C 17 0.037018 200
165C 18 0.041505 200
165C 19 0.037107 200
165C 20 0.036644 200
=== landing control ===
LC 1 0.039889 200
LC 2 0.073715 200
LC 3 0.047894 200
LC 4 0.043179 200
LC 5 0.041551 200
LC 6 0.040607 200
LC 7 0.039368 200
LC 8 0.041711 200
LC 9 0.045652 200
LC 10 0.051793 200
LC 11 0.042219 200
LC 12 0.046331 200
LC 13 0.044349 200
LC 14 0.046616 200
LC 15 0.040058 200
LC 16 0.040752 200
LC 17 0.038949 200
LC 18 0.037447 200
LC 19 0.046301 200
LC 20 0.038384 200
Sat Sep  5 19:34:09 JST 2026
