Sat Sep  5 22:17:43 JST 2026
22:17  up 15 hrs, 15 users, load averages: 6.07 7.41 12.89
=== run172A search ===
172A 1 0.088030 200
172A 2 0.963070 200
172A 3 0.095103 200
172A 4 0.047358 200
172A 5 0.045963 200
172A 6 0.046151 200
172A 7 0.071058 200
172A 8 1.188825 200
172A 9 0.044863 200
172A 10 0.987248 200
172A 11 0.039043 200
172A 12 0.053918 200
172A 13 0.036734 200
172A 14 0.055176 200
172A 15 0.039703 200
172A 16 0.042810 200
172A 17 0.039713 200
172A 18 0.040657 200
172A 19 0.056024 200
172A 20 0.044237 200
=== run172B search ===
172B 1 2.055411 200
172B 2 0.040567 200
172B 3 0.051715 200
172B 4 0.058525 200
172B 5 0.051279 200
172B 6 0.065458 200
172B 7 0.041576 200
172B 8 0.993819 200
172B 9 0.045658 200
172B 10 0.101705 200
172B 11 0.054656 200
172B 12 0.085770 200
172B 13 0.052077 200
172B 14 0.096517 200
172B 15 0.073132 200
172B 16 0.059081 200
172B 17 0.066016 200
172B 18 0.043842 200
172B 19 0.046068 200
172B 20 0.060372 200
=== run172C search ===
172C 1 0.051024 200
172C 2 0.049133 200
172C 3 0.072704 200
172C 4 0.042516 200
172C 5 0.046754 200
172C 6 0.128632 200
172C 7 0.041518 200
172C 8 0.053654 200
172C 9 0.037493 200
172C 10 0.038643 200
172C 11 0.046006 200
172C 12 0.042140 200
172C 13 0.050033 200
172C 14 0.037681 200
172C 15 0.083108 200
172C 16 0.043744 200
172C 17 0.050562 200
172C 18 0.041362 200
172C 19 0.063752 200
172C 20 0.093745 200
=== landing control ===
LC 1 0.075327 200
LC 2 0.083365 200
LC 3 0.046794 200
LC 4 0.482019 200
LC 5 0.042013 200
LC 6 0.052732 200
LC 7 0.045983 200
LC 8 0.044932 200
LC 9 0.049842 200
LC 10 0.055755 200
LC 11 0.044348 200
LC 12 0.050028 200
LC 13 0.040028 200
LC 14 0.051207 200
LC 15 0.082490 200
LC 16 0.391245 200
LC 17 0.072380 200
LC 18 0.080688 200
LC 19 0.085768 200
LC 20 0.066914 200
Sat Sep  5 22:17:55 JST 2026
