Sun Sep  6 01:28:25 JST 2026
 1:28  up 18:11, 11 users, load averages: 7.32 8.38 13.48
=== run178A search ===
178A 1 1.677652 200
178A 2 1.327103 200
178A 3 0.834051 200
178A 4 0.969595 200
178A 5 1.026012 200
178A 6 0.038253 200
178A 7 0.033961 200
178A 8 0.033838 200
178A 9 0.036996 200
178A 10 0.033819 200
178A 11 1.418103 200
178A 12 0.064845 200
178A 13 0.861252 200
178A 14 0.038528 200
178A 15 1.260090 200
178A 16 0.041619 200
178A 17 0.978557 200
178A 18 0.036887 200
178A 19 0.036502 200
178A 20 1.413008 200
=== run178B search ===
178B 1 0.034169 200
178B 2 0.180954 200
178B 3 0.116534 200
178B 4 0.035216 200
178B 5 0.038972 200
178B 6 0.043913 200
178B 7 0.034505 200
178B 8 0.037898 200
178B 9 0.036269 200
178B 10 0.118461 200
178B 11 0.035373 200
178B 12 0.040798 200
178B 13 0.037420 200
178B 14 0.032522 200
178B 15 0.039594 200
178B 16 0.037895 200
178B 17 0.037249 200
178B 18 0.038914 200
178B 19 0.049594 200
178B 20 0.041568 200
=== run178C search ===
178C 1 0.039588 200
178C 2 0.041290 200
178C 3 0.030745 200
178C 4 0.037651 200
178C 5 0.036372 200
178C 6 0.034795 200
178C 7 0.047460 200
178C 8 0.043885 200
178C 9 0.036354 200
178C 10 0.031962 200
178C 11 0.038641 200
178C 12 0.039211 200
178C 13 0.050374 200
178C 14 0.036504 200
178C 15 0.041062 200
178C 16 0.038817 200
178C 17 0.046078 200
178C 18 0.034288 200
178C 19 0.035242 200
178C 20 0.059094 200
=== landing control ===
LC 1 0.058067 200
LC 2 0.040934 200
LC 3 0.055161 200
LC 4 0.045187 200
LC 5 0.074351 200
LC 6 0.046123 200
LC 7 0.049452 200
LC 8 0.049078 200
LC 9 0.046158 200
LC 10 0.039027 200
LC 11 0.052879 200
LC 12 0.046379 200
LC 13 0.040755 200
LC 14 0.043350 200
LC 15 0.048455 200
LC 16 0.057641 200
LC 17 0.035505 200
LC 18 0.274286 200
LC 19 0.054172 200
LC 20 0.058074 200
Sun Sep  6 01:28:42 JST 2026
RC=0
