Sat Sep  5 18:18:23 JST 2026
=== run159A search ===
159A 1 0.089714 200
159A 2 0.058897 200
159A 3 0.043927 200
159A 4 0.042207 200
159A 5 0.063188 200
159A 6 0.057106 200
159A 7 0.050238 200
159A 8 0.042298 200
159A 9 0.055425 200
159A 10 0.072227 200
159A 11 0.055245 200
159A 12 0.046706 200
159A 13 0.049179 200
159A 14 0.074397 200
159A 15 0.039014 200
159A 16 0.065224 200
159A 17 0.137923 200
159A 18 0.055086 200
159A 19 0.106709 200
159A 20 0.108197 200
=== run159B search ===
159B 1 0.055087 200
159B 2 0.045898 200
159B 3 0.182505 200
159B 4 0.191108 200
159B 5 0.061847 200
159B 6 0.067735 200
159B 7 0.040010 200
159B 8 0.981088 200
159B 9 0.040218 200
159B 10 0.052229 200
159B 11 0.038714 200
159B 12 0.090857 200
159B 13 0.120033 200
159B 14 0.036080 200
159B 15 0.072777 200
159B 16 0.200160 200
159B 17 0.046226 200
159B 18 0.070234 200
159B 19 0.056357 200
159B 20 0.037026 200
=== run159C search ===
159C 1 0.032827 200
159C 2 0.052421 200
159C 3 0.050278 200
159C 4 0.058300 200
159C 5 0.041360 200
159C 6 0.068922 200
159C 7 0.125556 200
159C 8 0.092507 200
159C 9 0.040778 200
159C 10 0.038587 200
159C 11 0.036275 200
159C 12 0.062253 200
159C 13 0.040912 200
159C 14 0.036281 200
159C 15 0.068684 200
159C 16 0.055279 200
159C 17 0.104463 200
159C 18 0.047254 200
159C 19 0.038862 200
159C 20 0.092150 200
=== landing control ===
LC 1 0.050444 200
LC 2 0.055160 200
LC 3 0.048184 200
LC 4 0.060572 200
LC 5 0.052346 200
LC 6 0.058968 200
LC 7 0.060597 200
LC 8 0.050260 200
LC 9 0.067560 200
LC 10 0.051294 200
LC 11 0.057055 200
LC 12 0.055327 200
LC 13 0.059985 200
LC 14 0.060800 200
LC 15 0.063611 200
LC 16 0.088916 200
LC 17 0.049742 200
LC 18 0.050590 200
LC 19 0.052456 200
LC 20 0.056023 200
Sat Sep  5 18:18:36 JST 2026
